slug,winner,up_shares,up_spend,down_shares,down_spend,combined_spend,payout_if_up,payout_if_down,gross_pnl,roi,gross_pnl_if_up,gross_pnl_if_down,combined_cost_ratio,price_sum,share_skew,notional_skew,payout_skew,winner_overweight,first_buy_s,last_buy_s
btc-updown-5m-1776387300,Down,861.8167,356.37122976998336,1177.90445,878.8804015240667,1235.25163129405,861.8167,1177.90445,-57.34718129404996,-0.046425505412183134,-373.43493129405,-57.34718129404996,1.0486857667394414,1.0139116666666665,0.731652469773758,0.40548319105989844,-316.08775,True,30,300
btc-updown-5m-1776387000,Down,575.17524,244.98279009840002,888.34476,729.3753469113,974.3581370096999,575.17524,888.34476,-86.01337700969998,-0.08827696279488627,-399.1828970096999,-86.01337700969998,1.0968243196590701,0.0,0.6474684895985654,0.3358802722573959,-313.1695199999999,True,104,306
btc-updown-5m-1776385800,Up,412.1808,305.73259199999995,226.51009,49.72977137015,355.46236337014994,412.1808,226.51009,56.71843662985003,0.15956242481510766,56.71843662985003,-128.95227337014995,0.8623942778755099,1.01,1.8197017183649522,6.1478784956472605,185.67070999999999,True,12,154
btc-updown-5m-1776385500,Up,643.63329,422.2588380612833,230.03073,97.54075762469999,519.7995956859833,643.63329,230.03073,123.83369431401673,0.23823353334969896,123.83369431401673,-289.76886568598326,0.807602098527227,1.008125,2.798031767320827,4.329050218022458,413.60256,True,14,224
btc-updown-5m-1776385200,Down,853.54294,242.82592332086668,998.74434,711.3932914255166,954.2192147463833,853.54294,998.74434,44.52512525361669,0.04666131698621347,-100.67627474638323,44.52512525361669,0.9554188960373816,1.0233308333333335,0.8546160471858094,0.3413385060664305,-145.20139999999992,True,20,246
btc-updown-5m-1776384900,Up,1453.07484,822.3687388781167,1096.77911,519.6858006619167,1342.0545395400334,1453.07484,1096.77911,111.02030045996662,0.08272413466744576,111.02030045996662,-245.27542954003343,0.9235962956595087,1.0232583333333334,1.324856415253934,1.5824344975958105,356.29573000000005,True,28,282
btc-updown-5m-1776384600,Down,640.48888,378.4407056054,814.61456,474.83402697136665,853.2747325767666,640.48888,814.61456,-38.66017257676663,-0.04530800116396097,-212.78585257676662,-38.66017257676663,1.047458239117119,1.0133366666666666,0.7862477685152104,0.7969957587479733,-174.12568,True,112,300
btc-updown-5m-1776383400,Down,861.7014,354.2294112043333,1231.88287,853.1378932755,1207.3673044798334,861.7014,1231.88287,24.515565520166547,0.020304977142584228,-345.66590447983333,24.515565520166547,0.9800991099745007,1.0394016666666668,0.6994994580937716,0.4152076868187398,-370.1814699999999,True,18,300
btc-updown-5m-1776383100,Down,229.35247,88.46274775421668,531.5812099999999,417.35815982848334,505.8209075827,229.35247,531.5812099999999,25.760302417299954,0.050927713803700835,-276.46843758269995,25.760302417299954,0.9515402314214606,0.9763225,0.431453305130932,0.21195883121243192,-302.2287399999999,True,24,170
btc-updown-5m-1776382800,Down,914.34822,312.99030567135,1169.07379,752.8129356573334,1065.8032413286833,914.34822,1169.07379,103.27054867131665,0.0968945717809738,-151.4550213286833,103.27054867131665,0.911664644648892,1.015915,0.7821133514591924,0.4157610620732179,-254.72556999999995,True,16,296
btc-updown-5m-1776382200,Up,1471.68648,1087.5024217322834,1251.32823,349.07379307556664,1436.5762148078502,1471.68648,1251.32823,35.11026519214988,0.02444023841564582,35.11026519214988,-185.24798480785012,0.9761428363518364,1.0039166666666666,1.1760994795106636,3.1153940608107,220.35825,True,36,298
btc-updown-5m-1776381900,Down,169.76546,35.83629944183333,295.9276,240.23511174133333,276.0714111831667,169.76546,295.9276,19.85618881683331,0.07192410373727257,-106.30595118316668,19.85618881683331,0.9329018691841068,0.0,0.573672276597384,0.14917178085283012,-126.16214,True,118,196
btc-updown-5m-1776380700,Up,584.5344,375.492096,915.05695,320.2451500218833,695.7372460218833,584.5344,915.05695,-111.20284602188326,-0.15983454480513115,-111.20284602188326,219.31970397811676,0.7603212521601888,0.9627966666666666,0.6387956509154976,1.172514543855985,-330.52255,False,10,214
btc-updown-5m-1776380400,Up,1113.5584,755.3934934891,629.52241,226.30824675613334,981.7017402452334,1113.5584,629.52241,131.8566597547665,0.13431437915331404,131.8566597547665,-352.17933024523336,0.8815898117649092,0.9580616666666666,1.7688939778966721,3.337896450159422,484.03598999999986,True,62,224
btc-updown-5m-1776378900,Down,740.78725,224.82178051556667,820.63783,559.0968819419166,783.9186624574834,740.78725,820.63783,36.71916754251663,0.04684053244428038,-43.13141245748341,36.71916754251663,0.9552553316454877,1.1113216666666668,0.9026969302645967,0.4021159619683283,-79.85058000000004,True,14,292
btc-updown-5m-1776378600,Up,1496.6407,655.52211156465,1497.10011,665.7652233275,1321.28733489215,1496.6407,1497.10011,175.35336510784987,0.13271402856681666,175.35336510784987,175.81277510785003,0.8825644498096724,1.0173,0.9996931334137701,0.9846145286597355,-0.45941000000016174,False,12,306
btc-updown-5m-1776378300,Up,294.11337000000003,214.1338795154,168.5088,19.175712,233.3095915154,294.11337000000003,168.5088,60.80377848460003,0.2606141397345277,60.80377848460003,-64.8007915154,0.7932641467995827,0.0,1.7453887868170683,11.16693239423913,125.60457000000002,True,48,256
btc-updown-5m-1776378000,Down,918.52728,370.64538518545,1169.69263,763.4403274568666,1134.0857126423166,918.52728,1169.69263,35.606917357683415,0.031397024899222595,-215.55843264231657,35.606917357683415,0.9695587400959487,1.0323562499999999,0.7852723497112228,0.48549358981352864,-251.16535,True,24,296
btc-updown-5m-1776377700,Down,395.4192,74.689104,415.08389999999997,348.18704585390003,422.8761498539,395.4192,415.08389999999997,-7.792249853900046,-0.018426789632359733,-27.456949853900028,-7.792249853900046,1.0187727104180626,1.045,0.9526247585126766,0.21450856627026754,-19.664699999999982,True,20,304
btc-updown-5m-1776377400,Down,1037.56276,474.99714230318335,1272.62746,641.8767151408167,1116.8738574440001,1037.56276,1272.62746,155.7536025559998,0.13945496308101138,-79.3110974440001,155.7536025559998,0.8776125712736076,1.0148791666666668,0.8152918215358955,0.7400130447152568,-235.0646999999999,True,12,298
btc-updown-5m-1776377100,Down,709.45413,565.4494633949,1135.41003,287.5707848054667,853.0202482003667,709.45413,1135.41003,282.3897817996333,0.33104698557319884,-143.56611820036676,282.3897817996333,0.7512882797066419,0.0,0.6248439869779906,1.9662966242464797,-425.95590000000004,True,106,270
btc-updown-5m-1776375900,Up,1000.33774,734.8881756508999,1260.51171,473.63960405849997,1208.5277797094,1000.33774,1260.51171,-208.1900397093999,-0.17226748379707155,-208.1900397093999,51.98393029060003,0.9587596609549942,1.03,0.7935965465961439,1.5515767037929808,-260.17396999999994,False,14,250
btc-updown-5m-1776375600,Down,1634.1234,1015.3195903628666,1801.1490900000001,1012.1004158081666,2027.4200061710333,1634.1234,1801.1490900000001,-226.27091617103315,-0.11160534841439505,-393.2966061710333,-226.27091617103315,1.1256258670796837,1.0441566666666666,0.9072671491064628,1.0031806869204074,-167.02569000000017,True,38,286
btc-updown-5m-1776375300,Down,1364.6288,374.0948744538333,942.88237,710.3860700828667,1084.4809445367,1364.6288,942.88237,-141.59857453669997,-0.1305680613846029,280.14785546329995,-141.59857453669997,0.7947076483632033,0.0,1.4472948518488047,0.5266078407339759,421.7464299999999,False,34,300
btc-updown-5m-1776375000,Up,806.64498,363.0525007918,349.45973,207.91091859648333,570.9634193882833,806.64498,349.45973,235.6815606117167,0.4127787395980995,235.6815606117167,-221.50368938828336,0.7078249211794305,0.0,2.308263043641681,1.746192567675668,457.18525000000005,True,26,192
btc-updown-5m-1776374700,Up,531.05031,408.96505892555,340.87824,89.47939120000001,498.44445012555,531.05031,340.87824,32.60585987444995,0.06541523306405972,32.60585987444995,-157.56621012555001,0.9386011847456601,0.0,1.5578885586830065,4.57049442828071,190.17206999999996,True,94,240
btc-updown-5m-1776373500,Up,814.18019,468.0723072337167,348.5162,194.3954398114,662.4677470451167,814.18019,348.5162,151.7124429548834,0.2290110630013074,151.7124429548834,-313.9515470451166,0.8136623258361477,0.0,2.3361329832013547,2.407835840634094,465.66399,True,10,192
btc-updown-5m-1776373200,Down,630.00447,235.76997964166665,875.42028,546.7965105738833,782.56649021555,630.00447,875.42028,92.8537897844501,0.11865290802175094,-152.56202021554998,92.8537897844501,0.8939323295269672,1.0198049999999999,0.7196594417483679,0.43118413355311513,-245.41581000000008,True,16,274
btc-updown-5m-1776372900,Up,645.4971,449.2029084263833,513.68724,167.22151693026666,616.42442535665,645.4971,513.68724,29.07267464335007,0.04716340470533633,29.07267464335007,-102.73718535665,0.9549607974329396,1.03,1.2565955502418165,2.6862745696398997,131.80986000000007,True,30,220
btc-updown-5m-1776372600,Up,1358.33731,1064.3489697683167,1313.64719,437.37883168465,1501.7278014529666,1358.33731,1313.64719,-143.39049145296667,-0.09548367641208486,-143.39049145296667,-188.08061145296665,1.1055632429421869,1.02927,1.0340198801780256,2.4334716101114653,44.69011999999998,True,28,288
btc-updown-5m-1776372300,Up,295.27498,231.19910173906666,171.22681,55.689187991666664,286.88828973073333,295.27498,171.22681,8.386690269266694,0.02923329591855508,8.386690269266694,-115.66147973073333,0.9715970168916218,0.0,1.724466980375328,4.1515976453753165,124.04817000000003,True,86,154
btc-updown-5m-1776371100,Down,737.14494,175.74738917348333,829.13632,680.8871505393333,856.6345397128166,737.14494,829.13632,-27.49821971281665,-0.03210029299313021,-119.48959971281658,-27.49821971281665,1.0331648958675657,0.0,0.88905156150921,0.2581152971300356,-91.99137999999994,True,32,292
btc-updown-5m-1776370800,Down,169.20322,28.3302219189,589.66231,449.5142643887167,477.8444863076167,169.20322,589.66231,111.81782369238334,0.23400463308976974,-308.6412663076167,111.81782369238334,0.8103697289175845,0.0,0.2869493558101076,0.06302407768399867,-420.45909000000006,True,12,248
btc-updown-5m-1776370500,Down,170.82936999999998,50.05525925166667,531.59628,417.15018675265003,467.2054460043167,170.82936999999998,531.59628,64.3908339956833,0.13782124019823255,-296.3760760043167,64.3908339956833,0.878872677597211,0.0,0.32135170321357404,0.1199933761059228,-360.76691,True,32,194
btc-updown-5m-1776370200,Up,295.28059,231.06652363291667,172.43131,71.73631302218334,302.8028366551,295.28059,172.43131,-7.522246655099991,-0.024842061382892584,-7.522246655099991,-130.3715266551,1.025474910677671,1.01,1.7124534401553873,3.2210537996490416,122.84928000000002,True,16,102
btc-updown-5m-1776369900,Down,398.42304,114.62365568,885.0966,683.2564228854333,797.8800785654332,398.42304,885.0966,87.21652143456674,0.10931031338867325,-399.4570385654332,87.21652143456674,0.9014610140468658,0.0,0.450146390800733,0.167760816935957,-486.67355999999995,True,18,246
btc-updown-5m-1776369600,Down,1783.59429,775.6592172040333,1627.11946,922.4806408715,1698.1398580755333,1783.59429,1627.11946,-71.02039807553342,-0.04182246694098528,85.45443192446669,-71.02039807553342,0.952088637868163,1.02123,1.0961667743805363,0.8408406451448571,156.4748300000001,False,8,302
btc-updown-5m-1776369300,Down,1505.24232,774.3502095580167,1906.86099,933.6767160098667,1708.0269255678834,1505.24232,1906.86099,198.83406443211652,0.11641155151345657,-202.78460556788332,198.83406443211652,0.8957270270487223,1.0157283333333333,0.7893823031116706,0.8293558105071496,-401.61866999999984,True,20,296
btc-updown-5m-1776369000,Up,807.53832,375.27831179198336,403.90809,190.12245454233334,565.4007663343167,807.53832,403.90809,242.1375536656833,0.42825826932556615,242.1375536656833,-161.49267633431668,0.7001534816754166,1.01084,1.9993120712189745,1.973876850555927,403.63023,True,8,252
